Weight,Length,Height,Width
242,30,11.52,4.02
290,31.2,12.48,4.3056
340,31.1,12.3778,4.6961
363,33.5,12.73,4.4555
430,34,12.444,5.134
450,34.7,13.6024,4.9274
500,34.5,14.1795,5.2785
390,35,12.67,4.69
450,35.1,14.0049,4.8438
500,36.2,14.2266,4.9594
475,36.2,14.2628,5.1042
500,36.2,14.3714,4.8146
500,36.4,13.7592,4.368
340,37.3,13.9129,5.0728
600,37.2,14.9544,5.1708
600,37.2,15.438,5.58
700,38.3,14.8604,5.2854
700,38.5,14.938,5.1975
610,38.6,15.633,5.1338
650,38.7,14.4738,5.7276
575,39.5,15.1285,5.5695
685,39.2,15.9936,5.3704
620,39.7,15.5227,5.2801
680,40.6,15.4686,6.1306
700,40.5,16.2405,5.589
725,40.9,16.36,6.0532
720,40.6,16.3618,6.09
714,41.5,16.517,5.8515
850,41.6,16.8896,6.1984
1000,42.6,18.957,6.603
920,44.1,18.0369,6.3063
955,44,18.084,6.292
925,45.3,18.7542,6.7497
975,45.9,18.6354,6.7473
950,46.5,17.6235,6.3705
40,16.2,4.1472,2.268
69,20.3,5.2983,2.8217
78,21.2,5.5756,2.9044
87,22.2,5.6166,3.1746
120,22.2,6.216,3.5742
0,22.8,6.4752,3.3516
110,23.1,6.1677,3.3957
120,23.7,6.1146,3.2943
150,24.7,5.8045,3.7544
145,24.3,6.6339,3.5478
160,25.3,7.0334,3.8203
140,25,6.55,3.325
160,25,6.4,3.8
169,27.2,7.5344,3.8352
161,26.7,6.9153,3.6312
200,26.8,7.3968,4.1272
180,27.9,7.0866,3.906
290,29.2,8.8768,4.4968
272,30.6,8.568,4.7736
390,35,9.485,5.355
270,28.7,8.3804,4.2476
270,29.3,8.1454,4.2485
306,30.8,8.778,4.6816
540,34,10.744,6.562
800,39.6,11.7612,6.5736
1000,43.5,12.354,6.525
55,16.5,6.8475,2.3265
60,17.4,6.5772,2.3142
90,19.8,7.4052,2.673
120,21.3,8.3922,2.9181
150,22.4,8.8928,3.2928
140,23.2,8.5376,3.2944
170,23.2,9.396,3.4104
145,24.1,9.7364,3.1571
200,25.8,10.3458,3.6636
273,28,11.088,4.144
300,29,11.368,4.234
5.9,8.8,2.112,1.408
32,14.7,3.528,1.9992
40,16,3.824,2.432
51.5,17.2,4.5924,2.6316
70,18.5,4.588,2.9415
100,19.2,5.2224,3.3216
78,19.4,5.1992,3.1234
80,20.2,5.6358,3.0502
85,20.8,5.1376,3.0368
85,21,5.082,2.772
110,22.5,5.6925,3.555
115,22.5,5.9175,3.3075
125,22.5,5.6925,3.6675
130,22.8,6.384,3.534
120,23.5,6.11,3.4075
120,23.5,5.64,3.525
130,23.5,6.11,3.525
135,23.5,5.875,3.525
110,23.5,5.5225,3.995
130,24,5.856,3.624
150,24,6.792,3.624
145,24.2,5.9532,3.63
150,24.5,5.2185,3.626
170,25,6.275,3.725
225,25.5,7.293,3.723
145,25.5,6.375,3.825
188,26.2,6.7334,4.1658
180,26.5,6.4395,3.6835
197,27,6.561,4.239
218,28,7.168,4.144
300,28.7,8.323,5.1373
260,28.9,7.1672,4.335
265,28.9,7.0516,4.335
250,28.9,7.2828,4.5662
250,29.4,7.8204,4.2042
300,30.1,7.5852,4.6354
320,31.6,7.6156,4.7716
514,34,10.03,6.018
556,36.5,10.2565,6.3875
840,37.3,11.4884,7.7957
685,39,10.881,6.864
700,38.3,10.6091,6.7408
700,39.4,10.835,6.2646
690,39.3,10.5717,6.3666
900,41.4,11.1366,7.4934
650,41.4,11.1366,6.003
820,41.3,12.4313,7.3514
850,42.3,11.9286,7.1064
900,42.5,11.73,7.225
1015,42.4,12.3808,7.4624
820,42.5,11.135,6.63
1100,44.6,12.8002,6.8684
1000,45.2,11.9328,7.2772
1100,45.5,12.5125,7.4165
1000,46,12.604,8.142
1000,46.6,12.4888,7.5958
200,34.8,5.568,3.3756
300,37.8,5.7078,4.158
300,38.8,5.9364,4.3844
300,39.8,6.2884,4.0198
430,40.5,7.29,4.5765
345,41,6.396,3.977
456,45.5,7.28,4.3225
510,45.5,6.825,4.459
540,45.8,7.786,5.1296
500,48,6.96,4.896
567,48.7,7.792,4.87
770,51.2,7.68,5.376
950,55.1,8.9262,6.1712
1250,59.7,10.6863,6.9849
1600,64,9.6,6.144
1550,64,9.6,6.144
1650,68,10.812,7.48
6.7,10.8,1.7388,1.0476
7.5,11.6,1.972,1.16
7,11.6,1.7284,1.1484
9.7,12,2.196,1.38
9.8,12.4,2.0832,1.2772
8.7,12.6,1.9782,1.2852
10,13.1,2.2139,1.2838
9.9,13.1,2.2139,1.1659
9.8,13.2,2.2044,1.1484
12.2,13.4,2.0904,1.3936
13.4,13.5,2.43,1.269
12.2,13.8,2.277,1.2558
19.7,15.2,2.8728,2.0672
19.9,16.2,2.9322,1.8792
